anomaly,date
-0.248,1921/03/01
-0.227,1921/04/01
-0.218,1921/05/01
-0.118,1921/06/01
-0.142,1921/07/01
-0.28,1921/08/01
-0.163,1921/09/01
-0.14,1921/10/01
-0.312,1921/11/01
-0.153,1921/12/01
-0.408,1922/01/01
-0.274,1922/02/01
-0.27,1922/03/01
-0.251,1922/04/01
-0.385,1922/05/01
-0.328,1922/06/01
-0.24,1922/07/01
-0.348,1922/08/01
-0.289,1922/09/01
-0.327,1922/10/01
-0.301,1922/11/01
-0.302,1922/12/01
-0.227,1923/01/01
-0.42,1923/02/01
-0.415,1923/03/01
-0.356,1923/04/01
-0.325,1923/05/01
-0.245,1923/06/01
-0.344,1923/07/01
-0.377,1923/08/01
-0.324,1923/09/01
-0.275,1923/10/01
-0.026,1923/11/01
-0.005,1923/12/01
-0.319,1924/01/01
-0.193,1924/02/01
-0.27,1924/03/01
-0.277,1924/04/01
-0.242,1924/05/01
-0.228,1924/06/01
-0.275,1924/07/01
-0.287,1924/08/01
-0.299,1924/09/01
-0.325,1924/10/01
-0.372,1924/11/01
-0.546,1924/12/01
-0.401,1925/01/01
-0.302,1925/02/01
-0.227,1925/03/01
-0.279,1925/04/01
-0.258,1925/05/01
-0.251,1925/06/01
-0.213,1925/07/01
-0.124,1925/08/01
-0.189,1925/09/01
-0.305,1925/10/01
-0.066,1925/11/01
-0.008,1925/12/01
0.079,1926/01/01
-0.045,1926/02/01
-0.03,1926/03/01
-0.165,1926/04/01
-0.21,1926/05/01
-0.092,1926/06/01
-0.243,1926/07/01
-0.095,1926/08/01
-0.11,1926/09/01
-0.089,1926/10/01
-0.115,1926/11/01
-0.229,1926/12/01
-0.249,1927/01/01
-0.139,1927/02/01
-0.321,1927/03/01
-0.256,1927/04/01
-0.255,1927/05/01
-0.242,1927/06/01
-0.151,1927/07/01
-0.139,1927/08/01
-0.139,1927/09/01
-0.049,1927/10/01
-0.187,1927/11/01
-0.428,1927/12/01
-0.042,1928/01/01
-0.143,1928/02/01
-0.34,1928/03/01
-0.266,1928/04/01
-0.282,1928/05/01
-0.35,1928/06/01
-0.168,1928/07/01
-0.183,1928/08/01
-0.243,1928/09/01
-0.18,1928/10/01
-0.158,1928/11/01
-0.231,1928/12/01
-0.475,1929/01/01
-0.664,1929/02/01
-0.405,1929/03/01
-0.381,1929/04/01
-0.381,1929/05/01
-0.339,1929/06/01
-0.36,1929/07/01
-0.19,1929/08/01
-0.268,1929/09/01
-0.185,1929/10/01
-0.079,1929/11/01
-0.451,1929/12/01
-0.31,1930/01/01
-0.289,1930/02/01
-0.146,1930/03/01
-0.19,1930/04/01
-0.197,1930/05/01
-0.167,1930/06/01
-0.125,1930/07/01
-0.055,1930/08/01
-0.073,1930/09/01
-0.087,1930/10/01
0.071,1930/11/01
-0.072,1930/12/01
0.004,1931/01/01
-0.143,1931/02/01
-0.123,1931/03/01
-0.172,1931/04/01
-0.165,1931/05/01
-0.038,1931/06/01
0.003,1931/07/01
-0.055,1931/08/01
-0.051,1931/09/01
-0.042,1931/10/01
-0.155,1931/11/01
-0.102,1931/12/01
0.146,1932/01/01
-0.179,1932/02/01
-0.23,1932/03/01
-0.06,1932/04/01
-0.161,1932/05/01
-0.193,1932/06/01
-0.122,1932/07/01
-0.192,1932/08/01
-0.039,1932/09/01
-0.185,1932/10/01
-0.245,1932/11/01
-0.192,1932/12/01
-0.277,1933/01/01
-0.325,1933/02/01
-0.341,1933/03/01
-0.216,1933/04/01
-0.219,1933/05/01
-0.266,1933/06/01
-0.191,1933/07/01
-0.186,1933/08/01
-0.234,1933/09/01
-0.198,1933/10/01
-0.325,1933/11/01
-0.536,1933/12/01
-0.217,1934/01/01
-0.157,1934/02/01
-0.389,1934/03/01
-0.241,1934/04/01
-0.088,1934/05/01
-0.046,1934/06/01
-0.06,1934/07/01
-0.059,1934/08/01
-0.099,1934/09/01
-0.084,1934/10/01
0.02,1934/11/01
-0.143,1934/12/01
-0.231,1935/01/01
0.098,1935/02/01
-0.235,1935/03/01
-0.258,1935/04/01
-0.239,1935/05/01
-0.174,1935/06/01
-0.146,1935/07/01
-0.155,1935/08/01
-0.138,1935/09/01
-0.086,1935/10/01
-0.303,1935/11/01
-0.259,1935/12/01
-0.294,1936/01/01
-0.357,1936/02/01
-0.283,1936/03/01
-0.205,1936/04/01
-0.147,1936/05/01
-0.156,1936/06/01
-0.026,1936/07/01
-0.049,1936/08/01
-0.1,1936/09/01
-0.016,1936/10/01
-0.081,1936/11/01
-0.014,1936/12/01
-0.131,1937/01/01
0.037,1937/02/01
-0.26,1937/03/01
-0.125,1937/04/01
-0.084,1937/05/01
-0.005,1937/06/01
0.058,1937/07/01
0.081,1937/08/01
0.116,1937/09/01
0.115,1937/10/01
-0.008,1937/11/01
-0.103,1937/12/01
0.014,1938/01/01
0.032,1938/02/01
0.077,1938/03/01
0.07,1938/04/01
-0.105,1938/05/01
-0.055,1938/06/01
-0.049,1938/07/01
0.014,1938/08/01
0.063,1938/09/01
0.14,1938/10/01
0.006,1938/11/01
-0.308,1938/12/01
-0.074,1939/01/01
-0.048,1939/02/01
-0.256,1939/03/01
-0.091,1939/04/01
-0.035,1939/05/01
0.068,1939/06/01
0.05,1939/07/01
0.032,1939/08/01
-0.076,1939/09/01
-0.292,1939/10/01
-0.125,1939/11/01
0.193,1939/12/01
-0.17,1940/01/01
-0.031,1940/02/01
-0.088,1940/03/01
0.066,1940/04/01
0.038,1940/05/01
0.028,1940/06/01
0.14,1940/07/01
0.053,1940/08/01
0.128,1940/09/01
-0.005,1940/10/01
-0.062,1940/11/01
0.164,1940/12/01
-0.087,1941/01/01
-0.026,1941/02/01
-0.136,1941/03/01
0.026,1941/04/01
-0.027,1941/05/01
0.125,1941/06/01
0.129,1941/07/01
0.028,1941/08/01
-0.13,1941/09/01
0.219,1941/10/01
0.053,1941/11/01
0.099,1941/12/01
0.223,1942/01/01
-0.069,1942/02/01
-0.086,1942/03/01
-0.058,1942/04/01
-0.014,1942/05/01
0.032,1942/06/01
-0.069,1942/07/01
-0.065,1942/08/01
0,1942/09/01
-0.08,1942/10/01
-0.074,1942/11/01
0.009,1942/12/01
-0.201,1943/01/01
0.072,1943/02/01
-0.203,1943/03/01
0.004,1943/04/01
-0.012,1943/05/01
-0.088,1943/06/01
-0.004,1943/07/01
0.001,1943/08/01
-0.021,1943/09/01
0.229,1943/10/01
0.029,1943/11/01
0.179,1943/12/01
0.29,1944/01/01
0.139,1944/02/01
0.151,1944/03/01
0.063,1944/04/01
0.071,1944/05/01
0.16,1944/06/01
0.216,1944/07/01
0.243,1944/08/01
0.295,1944/09/01
0.211,1944/10/01
0.005,1944/11/01
-0.011,1944/12/01
0.01,1945/01/01
-0.078,1945/02/01
-0.03,1945/03/01
0.162,1945/04/01
-0.111,1945/05/01
0.001,1945/06/01
-0.081,1945/07/01
0.355,1945/08/01
0.15,1945/09/01
0.191,1945/10/01
-0.009,1945/11/01
-0.201,1945/12/01
0.107,1946/01/01
0.037,1946/02/01
-0.043,1946/03/01
0.146,1946/04/01
-0.108,1946/05/01
-0.257,1946/06/01
-0.042,1946/07/01
-0.145,1946/08/01
-0.009,1946/09/01
-0.044,1946/10/01
-0.103,1946/11/01
-0.349,1946/12/01
-0.122,1947/01/01
-0.17,1947/02/01
-0.063,1947/03/01
0.101,1947/04/01
-0.065,1947/05/01
0.007,1947/06/01
-0.01,1947/07/01
-0.042,1947/08/01
